DeliverableID,Path,Status,RowCount,SchemaVersion,SchemaValid
DEL-01-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-01_macOS_Build_Baseline/Dependencies.csv,READABLE,9,v3.1,YES
DEL-01-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-02_Unsigned_DMG_Packaging/Dependencies.csv,READABLE,8,v3.1,YES
DEL-02-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-01_FileTree_Refresh/Dependencies.csv,READABLE,6,v3.1,YES
DEL-02-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-02_Portal_Pipeline_Navigation/Dependencies.csv,READABLE,10,v3.1,YES
DEL-02-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-03_Operator_Toolkit_Panel/Dependencies.csv,READABLE,11,v3.1,YES
DEL-02-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-04_Multipane_Layout_Theme/Dependencies.csv,READABLE,9,v3.1,YES
DEL-03-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-01_Working_Root_Session_Boot/Dependencies.csv,READABLE,14,v3.1,YES
DEL-03-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-02_Turn_Execution_SSE_Streaming/Dependencies.csv,READABLE,14,v3.1,YES
DEL-03-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-03_Turn_Options_Fallback_Chains/Dependencies.csv,READABLE,8,v3.1,YES
DEL-03-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-04_Subagent_Governance_FailClosed/Dependencies.csv,READABLE,15,v3.1,YES
DEL-03-05,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-05_Anthropic_Provider_Integration/Dependencies.csv,READABLE,12,v3.1,YES
DEL-03-06,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-06_Outbound_Network_Guardrails/Dependencies.csv,READABLE,14,v3.1,YES
DEL-04-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-04_Attachments_Multimodal/1_Working/DEL-04-01_Attachment_Resolver_PromptMode/Dependencies.csv,READABLE,10,v3.1,YES
DEL-04-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-04_Attachments_Multimodal/1_Working/DEL-04-02_UI_Attachment_Pipeline/Dependencies.csv,READABLE,8,v3.1,YES
DEL-05-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-01_Instruction_Root_Bundling/Dependencies.csv,READABLE,11,v3.1,YES
DEL-05-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-02_Execution_Root_Scaffolding/Dependencies.csv,READABLE,13,v3.1,YES
DEL-05-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-03_Lifecycle_State_Handling/Dependencies.csv,READABLE,14,v3.1,YES
DEL-05-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-04_Dependency_Tracking_Contract/Dependencies.csv,READABLE,10,v3.1,YES
DEL-06-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-01_Agent_Instruction_Conformance/Dependencies.csv,READABLE,10,v3.1,YES
DEL-06-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-02_Local_Deliverable_Workflow_Agents/Dependencies.csv,READABLE,17,v3.1,YES
DEL-06-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-03_Cross_Deliverable_Workflows/Dependencies.csv,READABLE,15,v3.1,YES
DEL-06-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-04_Change_Management_Git_Hygiene/Dependencies.csv,READABLE,9,v3.1,YES
DEL-06-05,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-05_Governance_Coherence_Guardrails/Dependencies.csv,READABLE,17,v3.1,YES
DEL-07-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-07_Validation_Example_Assets/1_Working/DEL-07-01_Harness_Validation_Suite/Dependencies.csv,READABLE,15,v3.1,YES
DEL-07-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-07_Validation_Example_Assets/1_Working/DEL-07-02_Example_Execution_Roots/Dependencies.csv,READABLE,11,v3.1,YES
DEL-08-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-01_References_Content_Hashes/Dependencies.csv,READABLE,12,v3.1,YES
DEL-08-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-02_Dependencies_Schema_Linter/Dependencies.csv,READABLE,9,v3.1,YES
DEL-08-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-03_Execution_Root_Validator/Dependencies.csv,READABLE,9,v3.1,YES
DEL-08-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-04_Dependency_Graph_Generator/Dependencies.csv,READABLE,13,v3.1,YES
DEL-08-05,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-05_Deliverable_Lock_Mechanism/Dependencies.csv,READABLE,15,v3.1,YES
DEL-08-06,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-06_Unified_Run_Record_Persistence/Dependencies.csv,READABLE,12,v3.1,YES
DEL-08-07,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-07_Staleness_Propagation_Triage/Dependencies.csv,READABLE,15,v3.1,YES
